GMM_Component	Merged_Cluster	Is_Mainland_Merged_Cluster	Merged_Cluster_Color
1	0	False	#f77189
9	0	False	#f77189
14	0	False	#f77189
15	0	False	#f77189
17	0	False	#f77189
23	0	False	#f77189
24	1	False	#ae9d31
0	2	True	#33b07a
2	2	True	#33b07a
4	2	True	#33b07a
5	2	True	#33b07a
6	2	True	#33b07a
8	2	True	#33b07a
10	2	True	#33b07a
11	2	True	#33b07a
12	2	True	#33b07a
13	2	True	#33b07a
16	2	True	#33b07a
18	2	True	#33b07a
19	2	True	#33b07a
20	2	True	#33b07a
21	2	True	#33b07a
22	2	True	#33b07a
7	3	False	#38a9c5
25	3	False	#38a9c5
3	4	False	#cc7af4
