GMM_Component	Merged_Cluster	Is_Mainland_Merged_Cluster	Merged_Cluster_Color
1	0	False	#f77189
9	0	False	#f77189
14	0	False	#f77189
17	0	False	#f77189
23	0	False	#f77189
15	1	False	#ce9032
24	2	False	#97a431
0	3	True	#32b166
4	3	True	#32b166
5	3	True	#32b166
8	3	True	#32b166
10	3	True	#32b166
12	3	True	#32b166
18	3	True	#32b166
22	3	True	#32b166
2	4	False	#36ada4
6	4	False	#36ada4
11	4	False	#36ada4
13	4	False	#36ada4
16	4	False	#36ada4
19	4	False	#36ada4
20	4	False	#36ada4
21	4	False	#36ada4
7	5	False	#39a7d0
25	6	False	#a48cf4
3	7	False	#f561dd
