GMM_Component	Merged_Cluster	Is_Mainland_Merged_Cluster	Merged_Cluster_Color
1	0	False	#f77189
14	0	False	#f77189
23	0	False	#f77189
9	1	False	#e18632
17	1	False	#e18632
15	2	False	#b59a32
24	3	False	#8ba731
4	4	False	#32b258
10	4	False	#32b258
18	4	False	#32b258
0	5	False	#35ae95
5	5	False	#35ae95
8	5	False	#35ae95
12	5	False	#35ae95
22	5	False	#35ae95
2	6	True	#37abb2
11	6	True	#37abb2
13	6	True	#37abb2
16	6	True	#37abb2
19	6	True	#37abb2
20	6	True	#37abb2
21	6	True	#37abb2
6	7	False	#39a7d6
7	8	False	#8f93f4
25	9	False	#db70f4
3	10	False	#f667c6
